Non-Urban Exclusion,NFS Region Exclusion,Mainland Exclusion ,Woodland,FIA Code,Common Name,Genus,Species,VARIETY,SUBSPECIES,PLANTS Code,Past NRS Tally,Past PNW Tally,Past RMRS Tally,Past SRS Tally,Caribbean,Pacific,Urban,Historic  P2
.,.,.,.,8033,blacklancewood,Oxandra,lanceolata,.,.,OXLA4,U,U,U,"C, U",C,.,.,.
.,.,.,.,8034,haya,Oxandra,laurifolia,.,.,OXLA5,U,U,U,"C, U",C,.,.,.
.,.,.,.,711,sourwood,Oxydendrum,arboreum,.,.,OXAR,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,8036,"miich era ngebard, guiana chestnut",Pachira,aquatica,.,.,PAAQ2,U,"P, U",U,U,.,P,.,.
.,.,.,.,8037,wild chestnut,Pachira,insignis,.,.,PAIN7,U,U,U,"C, U",C,.,.,.
.,.,.,.,8074,Palaquium karrak,Palaquium,karrak,.,.,PAKA,U,"P, U",U,U,.,P,.,.
.,.,.,.,8044,gasu,Palaquium,stehlinii,.,.,PAST24,U,"P, U",U,U,.,P,.,.
.,.,.,.,8045,tafetan,Palicourea,alpina,.,.,PAAL9,U,U,U,"C, U",C,.,.,.
.,.,.,.,8047,red cappel,Palicourea,crocea,.,.,PACR3,U,U,U,"C, U",C,.,.,.
.,.,.,.,8049,Palicourea croceoides,Palicourea,croceoides,.,.,PACR18,U,U,U,"C, U",C,.,.,.
.,.,.,.,8051,showy cappel,Palicourea,guianensis,.,.,PAGU,U,U,U,"C, U",C,.,.,.
.,.,.,.,8054,chertochet,Pandanus,aimiriikensis,.,.,PAAI,U,"P, U",U,U,.,P,.,.
.,.,.,.,8055,matal,Pandanus,cominsii,.,.,PACO51,U,"P, U",U,U,.,P,.,.
.,.,.,.,8060,pahong,Pandanus,dubius,.,.,PADU3,U,"P, U",U,U,.,P,.,.
.,.,.,.,8053,Pandanus japensis,Pandanus,japensis,.,.,PAJA2,U,"P, U",U,U,.,P,.,.
.,.,.,.,8067,buuk,Pandanus,kanehirae,.,.,PAKA2,U,"P, U",U,U,.,P,.,.
.,.,.,.,8072,"ongor, ertochet",Pandanus,macrojeanneretia,.,.,PAMA32,U,"P, U",U,U,.,P,.,.
.,.,.,.,8076,"ongor, ertochet",Pandanus,palawensis,.,.,PAPA38,U,"P, U",U,U,.,P,.,.
.,.,.,.,8077,peet,Pandanus,patina,.,.,PAPA39,U,"P, U",U,U,.,P,.,.
.,.,.,.,8078,ongor,Pandanus,peliliuensis,.,.,PAPE,U,"P, U",U,U,.,P,.,.
.,.,.,.,8082,fasa,Pandanus,reineckei,.,.,PARE19,U,"P, U",U,U,.,P,.,.
.,.,.,.,8084,screwpine,Pandanus,spp.,.,.,PANDA,U,"P, U",U,U,.,P,.,.
.,.,.,.,8085,Tahitian screwpine,Pandanus,tectorius,.,.,PATE2,U,"P, U",U,U,.,P,.,.
.,.,.,.,8088,common screwpine,Pandanus,utilis,.,.,PAUT,U,"P, U",U,"C, U",C,P,.,.
.,.,.,.,8091,rauel,Pangium,edule,.,.,PAED4,U,"P, U",U,U,.,P,.,.
.,.,.,.,8099,scratchthroat,Parathesis,crenulata,.,.,PACR2,U,U,U,"C, U",C,.,.,.
.,.,.,.,8103,sea,Parinari,insularum,.,.,PAIN20,U,"P, U",U,U,.,P,.,.
.,.,.,.,8104,ais,Parinari,laurina,.,.,PALA5,U,"P, U",U,U,.,P,.,.
.,.,.,.,8107,Parkia korom,Parkia,korom,.,.,PAKO5,U,"P, U",U,U,.,P,.,.
.,.,.,.,8108,kmekumer,Parkia,parvifoliola,.,.,PAPA2,U,"P, U",U,U,.,P,.,.
.,.,.,.,8106,parkia,Parkia,spp.,.,.,PARKI3,U,U,U,"C, U",C,.,.,.
.,.,.,.,8110,Parkia timoriana,Parkia,timoriana,.,.,PATI5,U,U,U,"C, U",C,.,.,.
.,"3, 4",.,.,8111,Jerusalem thorn,Parkinsonia,aculeata,.,.,PAAC3,U,"P, U",U,"C, U",C,P,.,.
NUE,.,.,.,8112,paloverde,Parkinsonia,spp.,.,.,PARKI2,U,"P, U",U,U,.,P,.,.
.,.,.,.,8115,Texas paloverde,Parkinsonia,texana,.,.,PATE10,U,U,U,U,.,.,U,.
.,.,.,.,8113,cuachilote,Parmentiera,aculeata,.,.,PAAC13,U,U,U,"C, U",C,.,.,.
.,.,.,.,8114,candle tree,Parmentiera,cereifera,.,.,PACE8,U,U,U,"C, U",C,.,.,.
.,.,.,.,712,"paulownia, empress-tree",Paulownia,tomentosa,.,.,PATO2,"R, U","PNWS, P, U","R, U","R, U",.,P,.,P2
.,.,.,.,8121,Peltophorum pterocarpum,Peltophorum,pterocarpum,.,.,PEPT3,U,"P, U",U,"C, U",C,P,.,.
.,.,.,.,8123,ngis,Pemphis,acidula,.,.,PEAC6,U,"P, U",U,U,.,P,.,.
.,.,.,.,8125,butter tree,Pentadesma,butyracea,.,.,PEBU4,U,U,U,"C, U",C,.,.,.
.,.,.,.,8127,jiqi,Pera,bumeliifolia,.,.,PEBU2,U,U,U,"C, U",C,.,.,.
.,.,.,.,8129,Pericopsis mooniana,Pericopsis,mooniana,.,.,PEMO13,U,"P, U",U,U,.,P,.,.
.,.,.,.,8131,olomea,Perrottetia,sandwicensis,.,.,PESA3,U,"P, U",U,U,.,P,.,.
.,.,.,.,7211,avocado,Persea,americana,.,.,PEAM3,"R, U","P, U","R, U","R, C, U",C,P,.,P2
.,.,.,.,721,redbay,Persea,borbonia,.,.,PEBO,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,8134,canela,Persea,krugii,.,.,PEKR,U,U,U,"C, U",C,.,.,.
.,.,.,.,6511,swamp bay,Persea,palustris,.,.,PEPA37,U,U,U,U,.,.,U,.
.,.,.,.,8138,aquacatillo,Persea,urbaniana,.,.,PEUR2,U,U,U,"C, U",C,.,.,.
.,.,.,.,8141,bastard stopper,Petitia,domingensis,.,.,PEDO,U,U,U,"C, U",C,.,.,.
.,.,.,.,8146,Phaleria nisidai,Phaleria,nisidai,.,.,PHNI11,U,"P, U",U,U,.,P,.,.
.,.,.,.,6516,Amur corktree,Phellodendron,amurense,.,.,PHAM2,U,U,U,U,.,.,U,.
.,.,.,.,8143,aquilon prieto,Phialanthus,grandifolius,.,.,PHGR11,U,U,U,"C, U",C,.,.,.
.,.,.,.,8144,candlewood,Phialanthus,myrtilloides,.,.,PHMY,U,U,U,"C, U",C,.,.,.
.,.,.,.,8151,Canary Island date palm,Phoenix,canariensis,.,.,PHCA13,U,"P, U",U,U,.,P,.,.
.,.,.,.,8152,date palm,Phoenix,dactylifera,.,.,PHDA4,U,"P, U",U,U,.,P,U,.
.,.,.,.,8150,pygmy date palm,Phoenix,roebelenii,.,.,PHRO6,U,U,U,U,.,.,U,.
.,.,.,.,8154,date palm,Phoenix,sylvestris,.,.,PHSY3,U,"P, U",U,U,.,P,.,.
.,.,.,.,8155,Chinese  photinia,Photinia,davidiana,.,.,PHDA5,U,"P, U",U,U,.,P,.,.
.,.,.,.,8157,Tahitian gooseberry tree,Phyllanthus,acidus,.,.,PHAC3,U,"P, U",U,"C, U",C,P,.,.
.,.,.,.,8159,pamakani mahu,Phyllanthus,distichus,.,.,PHDI10,U,"P, U",U,U,.,P,.,.
.,.,.,.,8160,gamo de costa,Phyllanthus,juglandifolius,.,.,PHJU2,U,U,U,"C, U",C,.,.,.
.,.,.,.,8162,Phyllanthus orbicularis,Phyllanthus,orbicularis,.,.,PHOR10,U,U,U,"C, U",C,.,.,.
.,.,.,.,91,Norway spruce,Picea,abies,.,.,PIAB,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,92,Brewer spruce,Picea,breweriana,.,.,PIBR,"R, U","PNWS, U","R, U",U,.,.,.,P2
